"PARENT_SAMPLE_NAME","CLIENT_IDENTIFIER","NEG","POLAR","POS.EARLY","POS.LATE","BOX_NUMBER","CLIENT_MATRIX","CLIENT_SAMPLE_ID","CLIENT_SAMPLE_NUMBER","GROUP_ID","GROUP_NAME","SAMPLE_AMOUNT","SAMPLE_AMOUNT_UNITS","SAMPLE_BOX_LOCATION","SAMPLE_DESCRIPTION","TIME1","TIME_POINT","VOL_EXTRACTED","Sex","Blood.Volume","Gender"
"UNAZ-02793","FS28908721",247376,247384,247380,247372,"FE00535389","EDTA Plasma",1,1,"treat1_PreSymp","treat1",150,"uL","A1","Mouse Plasma","PreSymp",1,100,NA,0.5,"Female"
"UNAZ-02796","FS28908779",247376,247384,247380,247372,"FE00535389","EDTA Plasma",57,10,"treat1_Onset","treat1",150,"uL","C11","Mouse Plasma","Onset",2,100,NA,0.6,"Female"
"UNAZ-02797","FS28908724",247376,247384,247380,247372,"FE00535389","EDTA Plasma",64,13,"treat1_Onset","treat1",150,"uL","D5","Mouse Plasma","Onset",2,100,NA,0.65,"Female"
"UNAZ-02801","FS28908806",247376,247384,247380,247372,"FE00535389","EDTA Plasma",7,25,"treat1_End","treat1",150,"uL","G2","Mouse Plasma","End",3,100,NA,0.6,"Female"
"UNAZ-02803","FS28908745",247376,247384,247380,247372,"FE00535389","EDTA Plasma",10,31,"Ctl_PreSymp","Control",150,"uL","A4","Mouse Plasma","PreSymp",1,100,NA,0.6,"Female"
"UNAZ-02805","FS28908778",247376,247384,247380,247372,"FE00535389","EDTA Plasma",70,37,"Ctl_PreSymp","Control",150,"uL","B11","Mouse Plasma","PreSymp",1,100,NA,700,"Female"
"UNAZ-02806","FS28908771",247376,247384,247380,247372,"FE00535389","EDTA Plasma",56,40,"Ctl_Onset","Control",150,"uL","C10","Mouse Plasma","Onset",2,100,NA,0.6,"Female"
"UNAZ-02807","FS28908756",247376,247384,247380,247372,"FE00535389","EDTA Plasma",62,43,"Ctl_Onset","Control",150,"uL","D4","Mouse Plasma","Onset",2,100,NA,0.4,"Female"
"UNAZ-02809","FS28908789",247376,247384,247380,247372,"FE00535389","EDTA Plasma",5,49,"Ctl_End","Control",150,"uL","E12","Mouse Plasma","End",3,100,NA,0.7,"Female"
"UNAZ-02811","FS28908727",247376,247384,247380,247372,"FE00535389","EDTA Plasma",12,55,"Ctl_End","Control",150,"uL","G4","Mouse Plasma","End",3,100,NA,0.6,"Female"
"UNAZ-02812","FS28908793",247376,247384,247380,247372,"FE00535389","EDTA Plasma",31,58,"treat2_PreSymp","treat2",150,"uL","A10","Mouse Plasma","PreSymp",1,100,NA,0.65,"Female"
"UNAZ-02813","FS28908722",247376,247384,247380,247372,"FE00535389","EDTA Plasma",35,61,"treat2_PreSymp","treat2",150,"uL","B1","Mouse Plasma","PreSymp",1,100,NA,0.75,"Female"
"UNAZ-02815","FS28908731",247376,247384,247380,247372,"FE00535389","EDTA Plasma",51,67,"treat2_Onset","treat2",150,"uL","C5","Mouse Plasma","Onset",2,100,NA,0.6,"Female"
"UNAZ-02816","FS28908755",247376,247384,247380,247372,"FE00535389","EDTA Plasma",54,70,"treat2_Onset","treat2",150,"uL","C8","Mouse Plasma","Onset",2,100,NA,0.6,"Female"
"UNAZ-02819","FS28908766",247376,247384,247380,247372,"FE00535389","EDTA Plasma",38,79,"treat2_End","treat2",150,"uL","F9","Mouse Plasma","End",3,100,NA,0.8,"Female"
"UNAZ-02822","FS28908729",247376,247384,247380,247372,"FE00535389","EDTA Plasma",6,2,"treat1_PreSymp","treat1",150,"uL","A2","Mouse Plasma","PreSymp",1,100,NA,0.6,"Female"
"UNAZ-02823","FS29250501",247376,247384,247380,247372,"FE00535389","EDTA Plasma",65,5,"treat1_PreSymp","treat1",150,"uL","B8","Mouse Plasma","PreSymp",1,100,NA,500,"Female"
"UNAZ-02825","FS28908787",247376,247384,247380,247372,"FE00535389","EDTA Plasma",58,11,"treat1_Onset","treat1",150,"uL","C12","Mouse Plasma","Onset",2,100,NA,0.65,"Female"
"UNAZ-02826","FS28908732",247376,247384,247380,247372,"FE00535389","EDTA Plasma",68,14,"treat1_Onset","treat1",150,"uL","D6","Mouse Plasma","Onset",2,90,NA,0.6,"Female"
"UNAZ-02828","FS28908773",247376,247384,247380,247372,"FE00535389","EDTA Plasma",2,20,"treat1_End","treat1",150,"uL","E10","Mouse Plasma","End",3,100,NA,0.5,"Female"
